rho,mu,method,overlap1,overlap1_std,overlap2,overlap2_std,sum,sum_std
0.0,0.15757575757575756,B,0.8647509619018519,0.0007942002605735895,0.13877647995290107,0.006555673510895296,0.5017637209273765,0.003040375786145327
0.0,0.15757575757575756,naive,0.8772901798659593,0.0007808246762495114,0.1036660247752393,0.005398092724047026,0.4904781023205992,0.0025697208232328336
0.0,0.1616161616161616,A,0.1064859798236116,0.004949169736724442,0.861809585838198,0.00097587407582789,0.48414778283090487,0.0023301420663197295
0.0,0.1616161616161616,B,0.8672138106805078,0.0008244583488752709,0.14792658421291638,0.00654681788449986,0.5075701974467122,0.003062907581700159
0.0,0.1616161616161616,naive,0.877292231070802,0.0009082682142455972,0.11463680563181516,0.0055677575676540796,0.4959645183513086,0.0026530560380071855
0.0,0.16565656565656567,A,0.10309370135415839,0.005039731626471035,0.8595603894333341,0.000997099836470938,0.4813270453937462,0.0023162728514035036
0.0,0.16565656565656567,B,0.8734711233942847,0.0007794439482209711,0.1251609733886975,0.005823654964899723,0.499316048391491,0.0027021870246833795
0.0,0.16565656565656567,naive,0.8780115949870261,0.0009138413162521798,0.107454292491876,0.005098105391839812,0.4927329437394509,0.002357487526044116
0.0,0.1696969696969697,A,0.10213457782391924,0.005718897053272992,0.8606294290877085,0.0010736519610112898,0.48138200345581383,0.002608475677049216
0.0,0.1696969696969697,B,0.8763480931015585,0.0007862614113321909,0.11731820202992527,0.006262799062640453,0.49683314756574193,0.002920766901201177
0.0,0.1696969696969697,naive,0.8770462948045901,0.0009375923864721747,0.10564974801961251,0.005651671080231969,0.4913480214121013,0.002598700428226577
0.0,0.17373737373737375,A,0.10634983848776672,0.005502332145943279,0.8615656730208983,0.0009917885262587874,0.4839577557543325,0.0025768569057529164
0.0,0.17373737373737375,B,0.881299766950209,0.000645823225139147,0.11160929245155372,0.0057919709232454025,0.49645452970088144,0.0027431264999343307
0.0,0.17373737373737375,naive,0.8796744351758699,0.000762546230170038,0.10292894105121045,0.005311895679005884,0.4913016881135402,0.0025570923977348186
0.0,0.17777777777777778,A,0.11132566831116136,0.0061007597238591236,0.8584941855134387,0.001083909145278794,0.48490992691230006,0.0028238388856236005
0.0,0.17777777777777778,B,0.8820578011454157,0.0006318344290198069,0.10449064503954197,0.005525456674751433,0.4932742230924788,0.002643485545959579
0.0,0.17777777777777778,naive,0.875538754278066,0.0008859064871009094,0.10550217427143785,0.005501966884544618,0.490520464274752,0.002621809110264586
0.0,0.18181818181818182,A,0.10530371009383355,0.0057497151897274255,0.8599452223003134,0.0012600551308684495,0.48262446619707355,0.002573249656168975
0.0,0.18181818181818182,B,0.8860464534938073,0.0005977413810834869,0.09276161213460397,0.004755199206029523,0.48940403281420564,0.002253297919032753
0.0,0.18181818181818182,naive,0.8779234006873815,0.0008366302918816453,0.09499649961721653,0.004860908370596214,0.48645995015229915,0.002253636031116571
0.0,0.18585858585858586,A,0.12288537194186773,0.006367382602411953,0.8582597800892537,0.0011510036196342298,0.49057257601556065,0.0028901812500859224
0.0,0.18585858585858586,B,0.8888725763964673,0.0005841053219049244,0.09646446417471001,0.0052690823233730085,0.4926685202855887,0.0025546007142641367
0.0,0.18585858585858586,naive,0.8786709835577489,0.0009313646361503362,0.09990533251535991,0.005574512477417756,0.48928815803655445,0.0026645063394002268
0.0,0.1898989898989899,A,0.12327107519009585,0.006223406078128065,0.8576351633241963,0.0011699776795532568,0.490453119257146,0.0027702898156049074
0.0,0.1898989898989899,B,0.8901399089752553,0.0005394714488144448,0.08907359768361195,0.004874796913184397,0.4896067533294336,0.0023520572799976005
0.0,0.1898989898989899,naive,0.8773245220477816,0.0007523302167712706,0.09596996142776984,0.005139399891048435,0.48664724173777574,0.002471777034768081
0.0,0.19393939393939394,A,0.15031343699644723,0.007441421829945428,0.8546976955380237,0.0013578874345042118,0.5025055662672354,0.003260113281177122
0.0,0.19393939393939394,B,0.8920731971925272,0.0006306521624101294,0.10179802193369403,0.005404428266277268,0.4969356095631106,0.002560611492769881
0.0,0.19393939393939394,naive,0.8762271012556857,0.0009835568354854855,0.11381081575415855,0.006119031141508427,0.49501895850492217,0.002803671524516497
0.0,0.19797979797979798,A,0.1572319482726012,0.007517141638066596,0.8505160231483923,0.0014639222166339082,0.5038739857104968,0.003290577825685673
0.0,0.19797979797979798,B,0.8941510673888599,0.000636760035652056,0.0933967344013079,0.004985777656422091,0.4937739008950839,0.0023787408044055034
0.0,0.19797979797979798,naive,0.8771883238093426,0.0009257375361521185,0.10673615450128757,0.005767581443607031,0.49196223915531506,0.0026780250144174816
0.0,0.20202020202020202,A,0.17024238717724174,0.008671549096737598,0.8458346838099823,0.0023060368147073285,0.5080385354936121,0.0034929123206174635
0.0,0.20202020202020202,B,0.8974291794902303,0.000524226163608578,0.08445906385409538,0.004636522107699664,0.4909441216721628,0.002242956075931028
0.0,0.20202020202020202,naive,0.8786836480205618,0.0008140014048297012,0.09922939459194342,0.005417906531580559,0.48895652130625256,0.0025562461372446374
0.0,0.20606060606060606,A,0.17098110187662388,0.008131988411422117,0.8478841782000592,0.002095668067294663,0.5094326400383415,0.0033335680266297846
0.0,0.20606060606060606,B,0.8984285514873924,0.0005320857089181718,0.08500466773666913,0.004393224026232653,0.49171660961203073,0.002095908577637569
0.0,0.20606060606060606,naive,0.8772367316203148,0.0009427573173496516,0.10470749343740732,0.00541141816645711,0.49097211252886114,0.0024674591239781177
